"ensg"	"chrom"	"start"	"end"	"status"	"cytoband"	"symbol"
"ENSG00000169717"	1	2938046	2939465	"KNOWN"	"p36.32"	"ACTRT2"
"ENSG00000142611"	1	2985744	3355185	"KNOWN"	"p36.32"	"PRDM16"
"ENSG00000130762"	1	3371147	3397677	"KNOWN"	"p36.32"	"ARHGEF16"
"ENSG00000162591"	1	3404513	3528059	"KNOWN"	"p36.32"	"MEGF6"
"ENSG00000158109"	1	3541556	3546689	"KNOWN"	"p36.32"	"TPRG1L"
"ENSG00000116213"	1	3547332	3566671	"KNOWN"	"p36.32"	"WDR8"
"ENSG00000078900"	1	3569129	3650467	"KNOWN"	"p36.32"	"TP73"
"ENSG00000162592"	1	3668962	3688209	"KNOWN"	"p36.32"	"CCDC27"
"ENSG00000130764"	1	3696784	3713068	"KNOWN"	"p36.32"	"LRRC47"
"ENSG00000116198"	1	3731344	3773797	"KNOWN"	"p36.32"	"KIAA0562"
"ENSG00000169598"	1	3773845	3801993	"KNOWN"	"p36.32"	"DFFB"
"ENSG00000198912"	1	3805703	3816857	"KNOWN"	"p36.32"	"C1orf174"
"ENSG00000196581"	1	4715105	4843851	"KNOWN"	"p36.32"	"AJAP1"
"ENSG00000131697"	1	5922870	6052531	"KNOWN"	"p36.31"	"NPHP4"
"ENSG00000069424"	1	6051526	6161253	"KNOWN"	"p36.31"	"KCNAB2"
"ENSG00000116254"	1	6161853	6240183	"KNOWN"	"p36.31"	"CHD5"
"ENSG00000116251"	1	6245081	6259679	"KNOWN"	"p36.31"	"RPL22"
"ENSG00000158286"	1	6266189	6281351	"KNOWN"	"p36.31"	"RNF207"
"ENSG00000116237"	1	6281253	6296044	"KNOWN"	"p36.31"	"ICMT"
"ENSG00000173673"	1	6303646	6305638	"KNOWN"	"p36.31"	"HES3"
"ENSG00000158292"	1	6307406	6321035	"KNOWN"	"p36.31"	"GPR153"
"ENSG00000097021"	1	6324333	6453826	"KNOWN"	"p36.31"	"ACOT7"
"ENSG00000069812"	1	6472478	6484730	"KNOWN"	"p36.31"	"HES2"
"ENSG00000187017"	1	6484848	6521430	"KNOWN"	"p36.31"	"ESPN"
"ENSG00000215788"	1	6521211	6526268	"KNOWN"	"p36.31"	"TNFRSF25"
"ENSG00000171680"	1	6526152	6580069	"KNOWN"	"p36.31"	"PLEKHG5"
"ENSG00000162408"	1	6585222	6614595	"KNOWN"	"p36.31"	"NOL9"
"ENSG00000173662"	1	6615338	6639816	"KNOWN"	"p36.31"	"TAS1R1"
"ENSG00000204859"	1	6640061	6649339	"KNOWN"	"p36.31"	"ZBTB48"
"ENSG00000162413"	1	6650785	6662929	"KNOWN"	"p36.31"	"KLHL21"
"ENSG00000116273"	1	6673756	6684093	"KNOWN"	"p36.31"	"PHF13"
"ENSG00000041988"	1	6684926	6695632	"KNOWN"	"p36.31"	"THAP3"
"ENSG00000007923"	1	6694228	6761966	"KNOWN"	"p36.31"	"DNAJC11"
"ENSG00000171735"	1	6845384	7829764	"KNOWN"	"p36.31"	"CAMTA1"
"ENSG00000049245"	1	7831329	7841491	"KNOWN"	"p36.23"	"VAMP3"
"ENSG00000049246"	1	7844380	7905237	"KNOWN"	"p36.23"	"PER3"
"ENSG00000049247"	1	7903143	7913572	"KNOWN"	"p36.23"	"UTS2"
"ENSG00000049249"	1	7979908	8000887	"KNOWN"	"p36.23"	"TNFRSF9"
"ENSG00000116288"	1	8021714	8045341	"KNOWN"	"p36.23"	"PARK7"
"ENSG00000116285"	1	8071780	8086393	"KNOWN"	"p36.23"	"ERRFI1"
"ENSG00000162426"	1	8378169	8404227	"KNOWN"	"p36.23"	"SLC45A1"
"ENSG00000142599"	1	8412466	8877699	"KNOWN"	"p36.23"	"RERE"
"ENSG00000074800"	1	8921063	8938780	"KNOWN"	"p36.23"	"ENO1"
"ENSG00000131686"	1	9005922	9035146	"KNOWN"	"p36.23"	"CA6"
"ENSG00000197241"	1	9063359	9086404	"KNOWN"	"p36.23"	"SLC2A7"
"ENSG00000142583"	1	9097007	9129887	"KNOWN"	"p36.23"	"SLC2A5"
"ENSG00000180758"	1	9164081	9189250	"KNOWN"	"p36.23"	"GPR157"
"ENSG00000049239"	1	9294863	9331396	"KNOWN"	"p36.22"	"H6PD"
"ENSG00000171621"	1	9352941	9429588	"KNOWN"	"p36.22"	"SPSB1"
"ENSG00000171612"	1	9599528	9642828	"KNOWN"	"p36.22"	"SLC25A33"
"ENSG00000188807"	1	9648977	9674935	"KNOWN"	"p36.22"	"TMEM201"
"ENSG00000171608"	1	9711790	9789172	"KNOWN"	"p36.22"	"PIK3CD"
"ENSG00000179840"	1	9712679	9714644	"KNOWN"	"p36.22"	"C1orf200"
"ENSG00000171603"	1	9789086	9884584	"KNOWN"	"p36.22"	"CLSTN1"
"ENSG00000178585"	1	9908334	9970321	"KNOWN"	"p36.22"	"CTNNBIP1"
"ENSG00000162441"	1	9988997	10003465	"KNOWN"	"p36.22"	"LZIC"
"ENSG00000173614"	1	10003486	10045556	"KNOWN"	"p36.22"	"NMNAT1"
"ENSG00000162444"	1	10057255	10076078	"KNOWN"	"p36.22"	"RBP7"
"ENSG00000130939"	1	10093016	10241289	"KNOWN"	"p36.22"	"UBE4B"
"ENSG00000054523"	1	10270764	10441661	"KNOWN"	"p36.22"	"KIF1B"
"ENSG00000142657"	1	10459085	10480201	"KNOWN"	"p36.22"	"PGD"
"ENSG00000175279"	1	10490159	10512210	"KNOWN"	"p36.22"	"APITD1"
"ENSG00000160049"	1	10520605	10532613	"KNOWN"	"p36.22"	"DFFA"
"ENSG00000142655"	1	10535003	10690813	"KNOWN"	"p36.22"	"PEX14"
"ENSG00000130940"	1	10696661	10856707	"KNOWN"	"p36.22"	"CASZ1"
"ENSG00000175262"	1	11006533	11024290	"KNOWN"	"p36.22"	"C1orf127"
"ENSG00000120948"	1	11072679	11085546	"KNOWN"	"p36.22"	"TARDBP"
"ENSG00000009724"	1	11086062	11107296	"KNOWN"	"p36.22"	"MASP2"
"ENSG00000116649"	1	11114649	11120091	"KNOWN"	"p36.22"	"SRM"
"ENSG00000171824"	1	11126681	11159938	"KNOWN"	"p36.22"	"EXOSC10"
"ENSG00000198793"	1	11166589	11322608	"KNOWN"	"p36.22"	"FRAP1"
"ENSG00000171819"	1	11249398	11256037	"KNOWN"	"p36.22"	"ANGPTL7"
"ENSG00000120942"	1	11333255	11355112	"KNOWN"	"p36.22"	"UBIAD1"
"ENSG00000204624"	1	11539295	11597641	"KNOWN"	"p36.22"	"PTCHD2"
"ENSG00000116661"	1	11708283	11714739	"KNOWN"	"p36.22"	"FBXO2"
"ENSG00000132879"	1	11714432	11723384	"KNOWN"	"p36.22"	"FBXO44"
"ENSG00000116663"	1	11724150	11734407	"KNOWN"	"p36.22"	"FBXO6"
"ENSG00000116670"	1	11734538	11751707	"KNOWN"	"p36.22"	"MAD2L2"
"ENSG00000162490"	1	11751779	11780650	"KNOWN"	"p36.22"	"C1orf187"
"ENSG00000177674"	1	11796142	11810825	"KNOWN"	"p36.22"	"AGTRAP"
"ENSG00000215910"	1	11821844	11849642	"KNOWN"	"p36.22"	"C1orf167"
"ENSG00000177000"	1	11845780	11866977	"KNOWN"	"p36.22"	"MTHFR"
"ENSG00000011021"	1	11866207	11908136	"KNOWN"	"p36.22"	"CLCN6"
"ENSG00000175206"	1	11905769	11908402	"KNOWN"	"p36.22"	"NPPA"
"ENSG00000120937"	1	11917522	11918992	"KNOWN"	"p36.22"	"NPPB"
"ENSG00000116685"	1	11971241	11986480	"KNOWN"	"p36.22"	"KIAA2013"
"ENSG00000083444"	1	11994746	12035595	"KNOWN"	"p36.22"	"PLOD1"
"ENSG00000116688"	1	12040238	12073571	"KNOWN"	"p36.22"	"MFN2"
"ENSG00000116691"	1	12079299	12092106	"KNOWN"	"p36.22"	"MIIP"
"ENSG00000120949"	1	12123434	12204264	"KNOWN"	"p36.22"	"TNFRSF8"
"ENSG00000028137"	1	12227060	12269276	"KNOWN"	"p36.22"	"TNFRSF1B"
"ENSG00000048707"	1	12290113	12572099	"KNOWN"	"p36.22"	"VPS13D"
"ENSG00000162496"	1	12627939	12677794	"KNOWN"	"p36.22"	"DHRS3"
"ENSG00000204518"	1	12704566	12727097	"KNOWN"	"p36.21"	"AADACL4"
"ENSG00000188984"	1	12776118	12788726	"KNOWN"	"p36.21"	"AADACL3"
"ENSG00000157330"	1	12806163	12821101	"KNOWN"	"p36.21"	"C1orf158"
"ENSG00000116726"	1	12834997	12838049	"KNOWN"	"p36.21"	"PRAMEF12"
"ENSG00000116721"	1	12851562	12856275	"KNOWN"	"p36.21"	"PRAMEF1"
"ENSG00000204513"	1	12884468	12891264	"KNOWN"	"p36.21"	"PRAMEF11"
"ENSG00000179172"	1	12907230	12908609	"KNOWN"	"p36.21"	"HNRNPCL1"
"ENSG00000120952"	1	12916941	12921764	"KNOWN"	"p36.21"	"PRAMEF2"
"ENSG00000232423"	1	12939033	13117751	"KNOWN"	"p36.21"	"PRAMEF4"
"ENSG00000187545"	1	12952727	12958101	"KNOWN"	"p36.21"	"PRAMEF10"
"ENSG00000204510"	1	12976450	12980569	"KNOWN"	"p36.21"	"PRAMEF7"
"ENSG00000204508"	1	13035543	13038381	"KNOWN"	"p36.21"	"PRAMEF22"
"ENSG00000204503"	1	13328196	13331715	"KNOWN"	"p36.21"	"PRAMEF3"
"ENSG00000204502"	1	13359819	13369057	"KNOWN"	"p36.21"	"PRAMEF5"
"ENSG00000182330"	1	13386646	13390765	"KNOWN"	"p36.21"	"PRAMEF8"
"ENSG00000204501"	1	13421176	13428191	"KNOWN"	"p36.21"	"PRAMEF9"
"ENSG00000204495"	1	13447414	13452656	"KNOWN"	"p36.21"	"PRAMEF13"
"ENSG00000204491"	1	13474053	13477569	"KNOWN"	"p36.21"	"PRAMEF18"
"ENSG00000204488"	1	13495266	13498260	"KNOWN"	"p36.21"	"PRAMEF16"
"ENSG00000204486"	1	13516066	13526943	"KNOWN"	"p36.21"	"PRAMEF21"
"ENSG00000157358"	1	13641973	13648988	"KNOWN"	"p36.21"	"PRAMEF15"
"ENSG00000204481"	1	13668269	13673511	"KNOWN"	"p36.21"	"PRAMEF14"
"ENSG00000204480"	1	13694889	13698405	"KNOWN"	"p36.21"	"PRAMEF19"
"ENSG00000204479"	1	13716100	13719064	"KNOWN"	"p36.21"	"PRAMEF17"
"ENSG00000204478"	1	13736907	13747803	"KNOWN"	"p36.21"	"PRAMEF20"
"ENSG00000162494"	1	13801470	13840242	"KNOWN"	"p36.21"	"LRRC38"
"ENSG00000162493"	1	13910252	13944448	"KNOWN"	"p36.21"	"PDPN"
"ENSG00000116731"	1	14026735	14151569	"KNOWN"	"p36.21"	"PRDM2"
"ENSG00000218328"	1	14219052	14507186	"KNOWN"	"p36.21"	"C1orf196"
"ENSG00000171729"	1	15479028	15546974	"KNOWN"	"p36.21"	"TMEM51"
"ENSG00000204464"	1	15490840	15497813	"KNOWN"	"p36.21"	"C1orf195"
"ENSG00000142621"	1	15563065	15724623	"KNOWN"	"p36.21"	"FHAD1"
"ENSG00000142634"	1	15736441	15756834	"KNOWN"	"p36.21"	"EFHD2"
"ENSG00000162438"	1	15764935	15779541	"KNOWN"	"p36.21"	"CTRC"
"ENSG00000142615"	1	15783224	15798580	"KNOWN"	"p36.21"	"CELA2A"
"ENSG00000215704"	1	15802596	15817892	"KNOWN"	"p36.21"	"CELA2B"
"ENSG00000132906"	1	15814735	15851384	"KNOWN"	"p36.21"	"CASP9"
"ENSG00000116138"	1	15853308	15902587	"KNOWN"	"p36.21"	"DNAJC16"
"ENSG00000116771"	1	15899152	15911605	"KNOWN"	"p36.21"	"AGMAT"
"ENSG00000197312"	1	15944070	15986748	"KNOWN"	"p36.21"	"DDI2"
"ENSG00000215695"	1	15986364	15988217	"KNOWN"	"p36.21"	"RSC1A1"
"ENSG00000116786"	1	16008026	16061262	"KNOWN"	"p36.21"	"PLEKHM2"
"ENSG00000162461"	1	16062809	16067884	"KNOWN"	"p36.21"	"SLC25A34"
"ENSG00000162460"	1	16068917	16074477	"KNOWN"	"p36.21"	"TMEM82"
"ENSG00000162458"	1	16083139	16113089	"KNOWN"	"p36.21"	"FBLIM1"
"ENSG00000065526"	1	16174359	16266950	"KNOWN"	"p36.21"	"SPEN"
"ENSG00000116809"	1	16268364	16302627	"KNOWN"	"p36.13"	"ZBTB17"
"ENSG00000183888"	1	16330731	16335302	"KNOWN"	"p36.13"	"C1orf64"
"ENSG00000173641"	1	16340523	16345964	"KNOWN"	"p36.13"	"HSPB7"
"ENSG00000186510"	1	16348366	16360545	"KNOWN"	"p36.13"	"CLCNKA"
"ENSG00000184908"	1	16370247	16383803	"KNOWN"	"p36.13"	"CLCNKB"
"ENSG00000185519"	1	16384265	16400127	"KNOWN"	"p36.13"	"FAM131C"
"ENSG00000142627"	1	16450833	16482564	"KNOWN"	"p36.13"	"EPHA2"
"ENSG00000142632"	1	16524599	16539140	"KNOWN"	"p36.13"	"ARHGEF19"
"ENSG00000237276"	1	16542404	16543655	"KNOWN"	"p36.13"	"C1orf224"
"ENSG00000204377"	1	16555170	16556094	"KNOWN"	"p36.13"	"C1orf134"
"ENSG00000132881"	1	16558195	16563591	"KNOWN"	"p36.13"	"C1orf89"
"ENSG00000037637"	1	16576560	16678948	"KNOWN"	"p36.13"	"FBXO42"
"ENSG00000055070"	1	16693583	16724639	"KNOWN"	"p36.13"	"C1orf144"
"ENSG00000187144"	1	16722176	16763919	"KNOWN"	"p36.13"	"SPATA21"
"ENSG00000157191"	1	16767167	16786582	"KNOWN"	"p36.13"	"NECAP2"
"ENSG00000219481"	1	16888818	16940083	"KNOWN"	"p36.13"	"NBPF1"
"ENSG00000186715"	1	17081405	17090975	"KNOWN"	"p36.13"	"MSTP9"
"ENSG00000058453"	1	17248445	17299474	"KNOWN"	"p36.13"	"CROCC"
"ENSG00000117122"	1	17301003	17307173	"KNOWN"	"p36.13"	"MFAP2"
"ENSG00000159363"	1	17312453	17338423	"KNOWN"	"p36.13"	"ATP13A2"
"ENSG00000117118"	1	17345230	17380665	"KNOWN"	"p36.13"	"SDHB"
"ENSG00000117115"	1	17393256	17445948	"KNOWN"	"p36.13"	"PADI2"
"ENSG00000142623"	1	17531621	17572501	"KNOWN"	"p36.13"	"PADI1"
"ENSG00000142619"	1	17575593	17610728	"KNOWN"	"p36.13"	"PADI3"
"ENSG00000159339"	1	17634690	17690495	"KNOWN"	"p36.13"	"PADI4"
"ENSG00000197996"	1	17698741	17728195	"KNOWN"	"p36.13"	"PADI6"
"ENSG00000179051"	1	17733252	17766220	"KNOWN"	"p36.13"	"RCC2"
"ENSG00000074964"	1	17866330	18024369	"KNOWN"	"p36.13"	"ARHGEF10L"
"ENSG00000117148"	1	18081808	18153558	"KNOWN"	"p36.13"	"ACTL8"
"ENSG00000117154"	1	18434240	18704976	"KNOWN"	"p36.13"	"IGSF21"
"ENSG00000179023"	1	18807424	18812620	"KNOWN"	"p36.13"	"KLHDC7A"
"ENSG00000009709"	1	18957500	19075360	"KNOWN"	"p36.13"	"PAX7"
"ENSG00000179002"	1	19166093	19186155	"KNOWN"	"p36.13"	"TAS1R2"
"ENSG00000159423"	1	19197926	19229218	"KNOWN"	"p36.13"	"ALDH4A1"
"ENSG00000169991"	1	19230774	19282826	"KNOWN"	"p36.13"	"IFFO2"
"ENSG00000127481"	1	19401000	19536746	"KNOWN"	"p36.13"	"UBR4"
"ENSG00000127463"	1	19544585	19578046	"KNOWN"	"p36.13"	"KIAA0090"
"ENSG00000053372"	1	19578075	19586622	"KNOWN"	"p36.13"	"MRTO4"
"ENSG00000211454"	1	19592478	19600688	"KNOWN"	"p36.13"	"AKR7L"
"ENSG00000162482"	1	19609057	19615280	"KNOWN"	"p36.13"	"AKR7A3"
"ENSG00000053371"	1	19630459	19638640	"KNOWN"	"p36.13"	"AKR7A2"
"ENSG00000040487"	1	19638740	19655793	"KNOWN"	"p36.13"	"PQLC2"
"ENSG00000077549"	1	19665270	19812007	"KNOWN"	"p36.13"	"CAPZB"
"ENSG00000173436"	1	19923467	19967172	"KNOWN"	"p36.13"	"C1orf151"
"ENSG00000158747"	1	19967048	19984945	"KNOWN"	"p36.13"	"NBL1"
"ENSG00000158748"	1	19991780	20006055	"KNOWN"	"p36.13"	"HTR6"
"ENSG00000162542"	1	20008709	20126410	"KNOWN"	"p36.13"	"TMCO4"
"ENSG00000178828"	1	20140523	20141771	"KNOWN"	"p36.13"	"RNF186"
"ENSG00000169914"	1	20208888	20239429	"KNOWN"	"p36.13"	"OTUD3"
"ENSG00000188784"	1	20246800	20250110	"KNOWN"	"p36.13"	"PLA2G2E"
"ENSG00000188257"	1	20301929	20306909	"KNOWN"	"p36.13"	"PLA2G2A"
"ENSG00000127472"	1	20354672	20418391	"KNOWN"	"p36.13"	"PLA2G5"
"ENSG00000117215"	1	20438478	20446039	"KNOWN"	"p36.12"	"PLA2G2D"
"ENSG00000158786"	1	20465823	20476879	"KNOWN"	"p36.12"	"PLA2G2F"
"ENSG00000187980"	1	20490388	20501687	"KNOWN"	"p36.12"	"PLA2G2C"
"ENSG00000162543"	1	20512581	20522539	"KNOWN"	"p36.12"	"UBXN10"
"ENSG00000158816"	1	20617412	20681387	"KNOWN"	"p36.12"	"VWA5B1"
"ENSG00000162545"	1	20808885	20812728	"KNOWN"	"p36.12"	"CAMK2N1"
"ENSG00000090432"	1	20825943	20834674	"KNOWN"	"p36.12"	"MUL1"
"ENSG00000183114"	1	20878932	20881512	"KNOWN"	"p36.12"	"FAM43B"
"ENSG00000158825"	1	20915444	20945398	"KNOWN"	"p36.12"	"CDA"
"ENSG00000158828"	1	20959948	20978003	"KNOWN"	"p36.12"	"PINK1"
"ENSG00000117242"	1	20969150	20988037	"KNOWN"	"p36.12"	"DDOST"
"ENSG00000117245"	1	20990507	21044510	"KNOWN"	"p36.12"	"KIF17"
"ENSG00000189410"	1	21046225	21059133	"KNOWN"	"p36.12"	"SH2D5"
"ENSG00000127483"	1	21069171	21113816	"KNOWN"	"p36.12"	"HP1BP3"
"ENSG00000075151"	1	21132972	21503377	"KNOWN"	"p36.12"	"EIF4G3"
"ENSG00000117298"	1	21543740	21672034	"KNOWN"	"p36.12"	"ECE1"
"ENSG00000142794"	1	21766630	21811498	"KNOWN"	"p36.12"	"NBPF3"
"ENSG00000162551"	1	21835858	21904905	"KNOWN"	"p36.12"	"ALPL"
"ENSG00000076864"	1	21922708	21995856	"KNOWN"	"p36.12"	"RAP1GAP"
"ENSG00000090686"	1	22004791	22109688	"KNOWN"	"p36.12"	"USP48"
"ENSG00000187942"	1	22138758	22151714	"KNOWN"	"p36.12"	"LDLRAD2"
"ENSG00000142798"	1	22148738	22263710	"KNOWN"	"p36.12"	"HSPG2"
"ENSG00000219073"	1	22303418	22325135	"KNOWN"	"p36.12"	"CELA3B"
"ENSG00000142789"	1	22328149	22339033	"KNOWN"	"p36.12"	"CELA3A"
"ENSG00000070831"	1	22379120	22419437	"KNOWN"	"p36.12"	"CDC42"
"ENSG00000162552"	1	22443798	22470462	"KNOWN"	"p36.12"	"WNT4"
"ENSG00000184677"	1	22778344	22857650	"KNOWN"	"p36.12"	"ZBTB40"
"ENSG00000070886"	1	22890004	22930087	"KNOWN"	"p36.12"	"EPHA8"
"ENSG00000173372"	1	22963118	22966175	"KNOWN"	"p36.12"	"C1QA"
"ENSG00000159189"	1	22970118	22974600	"KNOWN"	"p36.12"	"C1QC"
"ENSG00000173369"	1	22979682	22988029	"KNOWN"	"p36.12"	"C1QB"
"ENSG00000133216"	1	23037331	23241823	"KNOWN"	"p36.12"	"EPHB2"
"ENSG00000004487"	1	23345946	23410184	"KNOWN"	"p36.12"	"KDM1"
"ENSG00000169641"	1	23346640	23495351	"KNOWN"	"p36.12"	"LUZP1"
"ENSG00000179546"	1	23516993	23521222	"KNOWN"	"p36.12"	"HTR1D"
"ENSG00000125944"	1	23636277	23670853	"KNOWN"	"p36.12"	"HNRNPR"
"ENSG00000125945"	1	23685941	23696357	"KNOWN"	"p36.12"	"ZNF436"
"ENSG00000187251"	1	23695464	23704184	"KNOWN"	"p36.12"	"C1orf213"
"ENSG00000204219"	1	23706923	23751261	"KNOWN"	"p36.12"	"TCEA3"
"ENSG00000088280"	1	23755056	23810750	"KNOWN"	"p36.12"	"ASAP3"
"ENSG00000007968"	1	23832922	23857713	"KNOWN"	"p36.12"	"E2F2"
"ENSG00000117318"	1	23884409	23886322	"KNOWN"	"p36.12"	"ID3"
"ENSG00000197880"	1	23953824	23967056	"KNOWN"	"p36.11"	"MDS2"
"ENSG00000142676"	1	24018294	24022915	"KNOWN"	"p36.11"	"RPL11"
"ENSG00000011007"	1	24069856	24088530	"KNOWN"	"p36.11"	"TCEB3"
"ENSG00000057757"	1	24104876	24114722	"KNOWN"	"p36.11"	"C1orf128"
"ENSG00000011009"	1	24117646	24122027	"KNOWN"	"p36.11"	"LYPLA2"
"ENSG00000117308"	1	24122089	24127294	"KNOWN"	"p36.11"	"GALE"
"ENSG00000117305"	1	24128368	24152677	"KNOWN"	"p36.11"	"HMGCL"
"ENSG00000179163"	1	24171574	24194821	"KNOWN"	"p36.11"	"FUCA1"
"ENSG00000188822"	1	24200461	24239817	"KNOWN"	"p36.11"	"CNR2"
"ENSG00000189266"	1	24286301	24289947	"KNOWN"	"p36.11"	"PNRC2"
"ENSG00000188529"	1	24292939	24306821	"KNOWN"	"p36.11"	"FUSIP1"
"ENSG00000142661"	1	24382531	24438665	"KNOWN"	"p36.11"	"MYOM3"
"ENSG00000142677"	1	24446261	24469611	"KNOWN"	"p36.11"	"IL22RA1"
"ENSG00000185436"	1	24480647	24514449	"KNOWN"	"p36.11"	"IL28RA"
"ENSG00000158055"	1	24645881	24690861	"KNOWN"	"p36.11"	"GRHL3"
"ENSG00000001460"	1	24683489	24741587	"KNOWN"	"p36.11"	"C1orf201"
"ENSG00000001461"	1	24742245	24799473	"KNOWN"	"p36.11"	"NIPAL3"
"ENSG00000117602"	1	24829387	24863504	"KNOWN"	"p36.11"	"RCAN3"
"ENSG00000184454"	1	24882602	24935816	"KNOWN"	"p36.11"	"C1orf130"
"ENSG00000133226"	1	24969594	24999771	"KNOWN"	"p36.11"	"SRRM1"
"ENSG00000169504"	1	25071760	25170815	"KNOWN"	"p36.11"	"CLIC4"
