"mirna"	"accession"	"version"	"chrom"	"start"	"end"	"strand"
"hsa-mir-320b-2"	"MI0003839"	0	1	224444706	224444843	-1
"hsa-mir-1182"	"MI0006275"	0	1	231155574	231155670	-1
"hsa-mir-1537"	"MI0007258"	0	1	236016300	236016360	-1
"hsa-mir-1301"	"MI0003815"	0	2	25551509	25551590	-1
"hsa-mir-558"	"MI0003564"	0	2	32757220	32757313	1
"hsa-mir-559"	"MI0003565"	0	2	47604814	47604909	1
"hsa-mir-217"	"MI0000293"	0	2	56210102	56210211	-1
"hsa-mir-216a"	"MI0000292"	0	2	56216085	56216194	-1
"hsa-mir-216b"	"MI0005569"	0	2	56227849	56227930	-1
"hsa-mir-1285-2"	"MI0006347"	0	2	70480050	70480137	-1
"hsa-mir-1302-3"	"MI0006364"	0	2	114340536	114340673	-1
"hsa-mir-663b"	"MI0006336"	0	2	133014539	133014653	-1
"hsa-mir-128-1"	"MI0000447"	0	2	136422967	136423048	1
"hsa-mir-933"	"MI0005755"	0	2	176032361	176032437	-1
"hsa-mir-10b"	"MI0000267"	0	2	177015031	177015140	1
"hsa-mir-1258"	"MI0006392"	0	2	180725563	180725635	-1
"hsa-mir-561"	"MI0003567"	0	2	189162219	189162315	1
"hsa-mir-1245"	"MI0006380"	0	2	189842818	189842887	1
"hsa-mir-1302-4"	"MI0006365"	0	2	208133999	208134148	-1
"hsa-mir-548f-2"	"MI0006375"	0	2	213290987	213291084	-1
"hsa-mir-26b"	"MI0000084"	0	2	219267369	219267445	1
"hsa-mir-375"	"MI0000783"	0	2	219866362	219866431	-1
"hsa-mir-153-1"	"MI0000463"	0	2	220158833	220158922	-1
"hsa-mir-1471"	"MI0007076"	0	2	232756952	232757008	-1
"hsa-mir-562"	"MI0003568"	0	2	233037363	233037457	1
"hsa-mir-149"	"MI0000478"	0	2	241395418	241395506	1
"hsa-mir-885"	"MI0005560"	0	3	10436173	10436246	-1
"hsa-mir-563"	"MI0003569"	0	3	15915278	15915356	1
"hsa-mir-128-2"	"MI0000727"	0	3	35785968	35786051	1
"hsa-mir-26a-1"	"MI0000083"	0	3	38010895	38010971	1
"hsa-mir-138-1"	"MI0000476"	0	3	44155704	44155802	1
"hsa-mir-564"	"MI0003570"	0	3	44903380	44903473	1
"hsa-mir-1226"	"MI0006313"	0	3	47891045	47891119	1
"hsa-mir-425"	"MI0001448"	0	3	49057581	49057667	-1
"hsa-mir-191"	"MI0000465"	0	3	49058051	49058142	-1
"hsa-mir-566"	"MI0003572"	0	3	50210759	50210852	1
"hsa-let-7g"	"MI0000433"	0	3	52302292	52302379	-1
"hsa-mir-135a-1"	"MI0000452"	0	3	52328235	52328324	-1
"hsa-mir-1284"	"MI0006431"	0	3	71591121	71591240	-1
"hsa-mir-1324"	"MI0006657"	0	3	75679914	75680009	1
"hsa-mir-567"	"MI0003573"	0	3	111831648	111831745	1
"hsa-mir-568"	"MI0003574"	0	3	114035322	114035416	-1
"hsa-mir-548i-1"	"MI0006421"	0	3	125509247	125509395	-1
"hsa-mir-1280"	"MI0006437"	0	3	128081008	128081101	1
"hsa-mir-15b"	"MI0000438"	0	3	160122376	160122473	1
"hsa-mir-16-2"	"MI0000115"	0	3	160122533	160122613	1
"hsa-mir-1263"	"MI0006398"	0	3	163889259	163889344	-1
"hsa-mir-720"	"MI0006654"	0	3	164059129	164059238	1
"hsa-mir-551b"	"MI0003575"	0	3	168269642	168269737	1
"hsa-mir-569"	"MI0003576"	0	3	170824453	170824548	-1
"hsa-mir-1224"	"MI0003764"	0	3	183959193	183959277	1
"hsa-mir-28"	"MI0000086"	0	3	188406569	188406654	1
"hsa-mir-944"	"MI0005769"	0	3	189547711	189547798	1
"hsa-mir-570"	"MI0003577"	0	3	195426272	195426368	1
"hsa-mir-922"	"MI0005714"	0	3	197401367	197401447	-1
"hsa-mir-571"	"MI0003578"	0	4	343946	344041	1
"hsa-mir-943"	"MI0005768"	0	4	1988111	1988204	-1
"hsa-mir-95"	"MI0000097"	0	4	8007028	8007108	-1
"hsa-mir-548i-2"	"MI0006422"	0	4	9557789	9557937	-1
"hsa-mir-572"	"MI0003579"	0	4	11370451	11370545	1
"hsa-mir-218-1"	"MI0000294"	0	4	20529898	20530007	1
"hsa-mir-573"	"MI0003580"	0	4	24521815	24521913	-1
"hsa-mir-574"	"MI0003581"	0	4	38869653	38869748	1
"hsa-mir-1269"	"MI0006406"	0	4	67142542	67142646	1
"hsa-mir-575"	"MI0003582"	0	4	83674490	83674583	-1
"hsa-mir-1255a"	"MI0006389"	0	4	102251459	102251571	-1
"hsa-mir-576"	"MI0003583"	0	4	110409854	110409951	1
"hsa-mir-297"	"MI0005775"	0	4	111781738	111781803	-1
"hsa-mir-367"	"MI0000775"	0	4	113569030	113569097	-1
"hsa-mir-302d"	"MI0000774"	0	4	113569160	113569227	-1
"hsa-mir-302a"	"MI0000738"	0	4	113569339	113569407	-1
"hsa-mir-302c"	"MI0000773"	0	4	113569519	113569586	-1
"hsa-mir-302b"	"MI0000772"	0	4	113569641	113569713	-1
"hsa-mir-577"	"MI0003584"	0	4	115577915	115578010	1
"hsa-mir-548g"	"MI0006395"	0	4	148265781	148265869	-1
"hsa-mir-578"	"MI0003585"	0	4	166307394	166307489	1
"hsa-mir-1979"	"MI0009989"	0	4	166321814	166321889	-1
"hsa-mir-1305"	"MI0006372"	0	4	183090446	183090531	1
"hsa-mir-887"	"MI0005562"	0	5	15935291	15935369	1
"hsa-mir-579"	"MI0003586"	0	5	32394484	32394581	-1
"hsa-mir-580"	"MI0003587"	0	5	36147994	36148090	-1
"hsa-mir-581"	"MI0003588"	0	5	53247334	53247429	-1
"hsa-mir-449a"	"MI0001648"	0	5	54466360	54466450	-1
"hsa-mir-449b"	"MI0003673"	0	5	54466474	54466570	-1
"hsa-mir-582"	"MI0003589"	0	5	58999432	58999529	-1
"hsa-mir-9-2"	"MI0000467"	0	5	87962671	87962757	-1
"hsa-mir-583"	"MI0003590"	0	5	95414842	95414916	1
"hsa-mir-548p"	"MI0006420"	0	5	100152186	100152269	-1
"hsa-mir-548f-3"	"MI0006376"	0	5	109849530	109849616	-1
"hsa-mir-1289-2"	"MI0006351"	0	5	132763288	132763398	-1
"hsa-mir-1974"	"MI0009984"	0	5	134259743	134259812	1
"hsa-mir-874"	"MI0005532"	0	5	136983261	136983338	-1
"hsa-mir-584"	"MI0003591"	0	5	148441876	148441972	-1
"hsa-mir-143"	"MI0000459"	0	5	148808481	148808586	1
"hsa-mir-145"	"MI0000461"	0	5	148810209	148810296	1
"hsa-mir-378"	"MI0000786"	0	5	149112388	149112453	1
"hsa-mir-1294"	"MI0006356"	0	5	153726666	153726807	1
"hsa-mir-1303"	"MI0006370"	0	5	154065336	154065421	1
"hsa-mir-146a"	"MI0000477"	0	5	159912359	159912457	1
"hsa-mir-103-1"	"MI0000109"	0	5	167987897	167987982	-1
"hsa-mir-218-2"	"MI0000295"	0	5	168195151	168195260	-1
"hsa-mir-585"	"MI0003592"	0	5	168690605	168690698	-1
"hsa-mir-1271"	"MI0003814"	0	5	175794949	175795034	1
"hsa-mir-1229"	"MI0006319"	0	5	179225278	179225346	-1
"hsa-mir-340"	"MI0000802"	0	5	179442303	179442397	-1
"hsa-mir-548a-1"	"MI0003593"	0	6	18572015	18572111	1
"hsa-mir-877"	"MI0005561"	0	6	30552109	30552194	1
"hsa-mir-1236"	"MI0006326"	0	6	31924616	31924717	-1
"hsa-mir-219-1"	"MI0000296"	0	6	33175612	33175721	1
"hsa-mir-1275"	"MI0006415"	0	6	33967749	33967828	-1
"hsa-mir-586"	"MI0003594"	0	6	45165411	45165507	-1
"hsa-mir-206"	"MI0000490"	0	6	52009147	52009232	1
"hsa-mir-133b"	"MI0000822"	0	6	52013721	52013839	1
"hsa-mir-30c-2"	"MI0000254"	0	6	72086663	72086734	-1
"hsa-mir-30a"	"MI0000088"	0	6	72113254	72113324	-1
"hsa-mir-2113"	"MI0003939"	0	6	98472407	98472497	1
"hsa-mir-587"	"MI0003595"	0	6	107232000	107232095	1
"hsa-mir-548b"	"MI0003596"	0	6	119390212	119390308	-1
"hsa-mir-588"	"MI0003597"	0	6	126805777	126805859	1
"hsa-mir-548a-2"	"MI0003598"	0	6	135560298	135560394	1
"hsa-mir-1202"	"MI0006334"	0	6	156267931	156268013	1
"hsa-mir-1913"	"MI0008334"	0	6	166922842	166922921	-1
"hsa-mir-339"	"MI0000815"	0	7	1062569	1062662	-1
"hsa-mir-589"	"MI0003599"	0	7	5535450	5535548	-1
"hsa-mir-1302-6"	"MI0006367"	0	7	18166843	18166932	-1
"hsa-mir-1183"	"MI0006276"	0	7	21510676	21510764	1
"hsa-mir-148a"	"MI0000253"	0	7	25989539	25989606	-1
"hsa-mir-196b"	"MI0001150"	0	7	27209099	27209183	-1
"hsa-mir-550-1"	"MI0003600"	0	7	30329410	30329506	1
"hsa-mir-550-2"	"MI0003601"	0	7	32772593	32772689	1
"hsa-mir-548n"	"MI0006399"	0	7	34980372	34980446	-1
"hsa-mir-1200"	"MI0006332"	0	7	36958962	36959037	-1
"hsa-mir-590"	"MI0003602"	0	7	73605528	73605624	1
"hsa-mir-1285-1"	"MI0006346"	0	7	91833329	91833412	-1
"hsa-mir-653"	"MI0003674"	0	7	93112072	93112167	-1
"hsa-mir-489"	"MI0003124"	0	7	93113248	93113331	-1
"hsa-mir-591"	"MI0003603"	0	7	95848974	95849068	-1
"hsa-mir-25"	"MI0000082"	0	7	99691183	99691266	-1
"hsa-mir-93"	"MI0000095"	0	7	99691391	99691470	-1
"hsa-mir-106b"	"MI0000734"	0	7	99691616	99691697	-1
"hsa-mir-548o"	"MI0006402"	0	7	102046189	102046302	-1
"hsa-mir-592"	"MI0003604"	0	7	126698142	126698238	-1
"hsa-mir-593"	"MI0003605"	0	7	127721913	127722012	1
"hsa-mir-129-1"	"MI0000252"	0	7	127847925	127847996	1
"hsa-mir-182"	"MI0000272"	0	7	129410223	129410332	-1
"hsa-mir-96"	"MI0000098"	0	7	129414532	129414609	-1
"hsa-mir-183"	"MI0000273"	0	7	129414745	129414854	-1
"hsa-mir-335"	"MI0000816"	0	7	130135952	130136045	1
"hsa-mir-29a"	"MI0000087"	0	7	130561506	130561569	-1
"hsa-mir-29b-1"	"MI0000105"	0	7	130562218	130562298	-1
"hsa-mir-490"	"MI0003125"	0	7	136587914	136588041	1
"hsa-mir-548f-4"	"MI0006377"	0	7	147075109	147075213	-1
"hsa-mir-1975"	"MI0009985"	0	7	148638580	148638654	1
"hsa-mir-671"	"MI0003760"	0	7	150935507	150935624	1
"hsa-mir-153-2"	"MI0000464"	0	7	157367028	157367114	-1
"hsa-mir-595"	"MI0003607"	0	7	158325410	158325505	-1
"hsa-mir-596"	"MI0003608"	0	8	1765397	1765473	1
"hsa-mir-548i-3"	"MI0006423"	0	8	7946463	7946611	-1
"hsa-mir-597"	"MI0003609"	0	8	9599182	9599278	1
"hsa-mir-124-1"	"MI0000443"	0	8	9760898	9760982	-1
"hsa-mir-598"	"MI0003610"	0	8	10892716	10892812	-1
"hsa-mir-383"	"MI0000791"	0	8	14710947	14711019	-1
"hsa-mir-320a"	"MI0000542"	0	8	22102475	22102556	-1
"hsa-mir-548h-4"	"MI0006414"	0	8	26906370	26906480	-1
"hsa-mir-486"	"MI0002470"	0	8	41517959	41518026	1
"hsa-mir-124-2"	"MI0000444"	0	8	65291706	65291814	1
"hsa-mir-599"	"MI0003611"	0	8	100548864	100548958	-1
"hsa-mir-875"	"MI0005541"	0	8	100549014	100549089	-1
"hsa-mir-1273"	"MI0006409"	0	8	101036210	101036312	-1
"hsa-mir-548a-3"	"MI0003612"	0	8	105496597	105496693	-1
"hsa-mir-2053"	"MI0010487"	0	8	113655722	113655812	1
"hsa-mir-548d-1"	"MI0003668"	0	8	124360274	124360370	-1
"hsa-mir-1204"	"MI0006337"	0	8	128808208	128808274	1
"hsa-mir-1205"	"MI0006338"	0	8	128972879	128972941	1
"hsa-mir-1207"	"MI0006340"	0	8	129061398	129061484	1
"hsa-mir-1208"	"MI0006341"	0	8	129162362	129162434	1
"hsa-mir-30b"	"MI0000441"	0	8	135812763	135812850	-1
"hsa-mir-30d"	"MI0000255"	0	8	135817119	135817188	-1
"hsa-mir-151"	"MI0000809"	0	8	141742663	141742752	-1
"hsa-mir-937"	"MI0005759"	0	8	144895127	144895212	-1
"hsa-mir-661"	"MI0003669"	0	8	145019359	145019447	-1
"hsa-mir-939"	"MI0005761"	0	8	145619364	145619445	-1
"hsa-mir-1234"	"MI0006324"	0	8	145625476	145625559	-1
"hsa-mir-1302-2"	"MI0006363"	0	9	30144	30281	1
"hsa-mir-101-2"	"MI0000739"	0	9	4850291	4850381	1
"hsa-mir-491"	"MI0003126"	0	9	20716104	20716187	1
"hsa-mir-31"	"MI0000089"	0	9	21512114	21512184	-1
"hsa-mir-876"	"MI0005542"	0	9	28863624	28863704	-1
"hsa-mir-873"	"MI0005564"	0	9	28888877	28888953	-1
"hsa-mir-1299"	"MI0006359"	0	9	69002239	69002321	-1
"hsa-mir-204"	"MI0000284"	0	9	73424891	73425000	-1
"hsa-mir-7-1"	"MI0000263"	0	9	86584663	86584772	-1
"hsa-let-7a-1"	"MI0000060"	0	9	96938239	96938318	1
"hsa-let-7f-1"	"MI0000067"	0	9	96938629	96938715	1
"hsa-let-7d"	"MI0000065"	0	9	96941116	96941202	1
"hsa-mir-23b"	"MI0000439"	0	9	97847490	97847586	1
"hsa-mir-27b"	"MI0000440"	0	9	97847727	97847823	1
"hsa-mir-24-1"	"MI0000080"	0	9	97848303	97848370	1
"hsa-mir-1302-8"	"MI0006369"	0	9	100125836	100125963	-1
"hsa-mir-32"	"MI0000090"	0	9	111808509	111808578	-1
"hsa-mir-455"	"MI0003513"	0	9	116971714	116971809	1
"hsa-mir-147"	"MI0000262"	0	9	123007257	123007328	-1
"hsa-mir-600"	"MI0003613"	0	9	125873825	125873922	-1
"hsa-mir-601"	"MI0003614"	0	9	126164804	126164882	-1
"hsa-mir-181a-2"	"MI0000269"	0	9	127454721	127454830	1
"hsa-mir-181b-2"	"MI0000683"	0	9	127455989	127456077	1
"hsa-mir-199b"	"MI0000282"	0	9	131007000	131007109	-1
"hsa-mir-219-2"	"MI0000740"	0	9	131154897	131154993	-1
"hsa-mir-126"	"MI0000471"	0	9	139565054	139565138	1
"hsa-mir-602"	"MI0003615"	0	9	140732871	140732968	1
"hsa-mir-1265"	"MI0006401"	0	10	14478575	14478660	1
"hsa-mir-511-1"	"MI0003127"	0	10	17887107	17887193	1
"hsa-mir-511-1"	"MI0003127"	0	10	18134036	18134122	1
"hsa-mir-1915"	"MI0008336"	0	10	21785491	21785570	-1
"hsa-mir-603"	"MI0003616"	0	10	24564614	24564710	1
"hsa-mir-604"	"MI0003617"	0	10	29833933	29834026	-1
"hsa-mir-938"	"MI0005760"	0	10	29891193	29891275	-1
"hsa-mir-605"	"MI0003618"	0	10	53059333	53059415	1
"hsa-mir-548f-1"	"MI0006374"	0	10	56367634	56367717	-1
"hsa-mir-1296"	"MI0003780"	0	10	65132717	65132808	-1
"hsa-mir-1254"	"MI0006388"	0	10	70519075	70519171	1
"hsa-mir-606"	"MI0003619"	0	10	77312216	77312311	1
"hsa-mir-346"	"MI0000826"	0	10	88024451	88024545	-1
"hsa-mir-107"	"MI0000114"	0	10	91352500	91352586	-1
"hsa-mir-607"	"MI0003620"	0	10	98588426	98588521	-1
"hsa-mir-1287"	"MI0006349"	0	10	100154975	100155064	-1
"hsa-mir-608"	"MI0003621"	0	10	102734742	102734841	1
"hsa-mir-146b"	"MI0003129"	0	10	104196269	104196341	1
"hsa-mir-1307"	"MI0006444"	0	10	105154010	105154158	-1
"hsa-mir-936"	"MI0005758"	0	10	105807847	105807944	-1
"hsa-mir-609"	"MI0003622"	0	10	105978547	105978641	-1
"hsa-mir-548e"	"MI0006344"	0	10	112748684	112748771	1
"hsa-mir-2110"	"MI0010629"	0	10	115933864	115933938	-1
"hsa-mir-202"	"MI0003130"	0	10	135061015	135061124	-1
"hsa-mir-210"	"MI0000286"	0	11	568089	568198	-1
"hsa-mir-675"	"MI0005416"	0	11	2017989	2018061	-1
"hsa-mir-483"	"MI0002467"	0	11	2155364	2155439	-1
"hsa-mir-302e"	"MI0006417"	0	11	7255997	7256068	1
"hsa-mir-610"	"MI0003623"	0	11	28078362	28078457	1
"hsa-mir-129-2"	"MI0000473"	0	11	43602944	43603033	1
"hsa-mir-130a"	"MI0000448"	0	11	57408671	57408759	1
"hsa-mir-611"	"MI0003624"	0	11	61559967	61560033	-1
"hsa-mir-1908"	"MI0008329"	0	11	61582633	61582712	-1
"hsa-mir-1237"	"MI0006327"	0	11	64136074	64136175	1
"hsa-mir-192"	"MI0000234"	0	11	64658609	64658718	-1
"hsa-mir-194-2"	"MI0000732"	0	11	64658827	64658911	-1
"hsa-mir-612"	"MI0003625"	0	11	65211929	65212028	1
"hsa-mir-548k"	"MI0006354"	0	11	70130061	70130176	1
"hsa-mir-139"	"MI0000261"	0	11	72326107	72326174	-1
"hsa-mir-326"	"MI0000808"	0	11	75046136	75046230	-1
"hsa-mir-708"	"MI0005543"	0	11	79113066	79113153	-1
"hsa-mir-1261"	"MI0006396"	0	11	90602289	90602370	-1
"hsa-mir-1304"	"MI0006371"	0	11	93466840	93466930	-1
"hsa-mir-548l"	"MI0006361"	0	11	94199661	94199746	-1
"hsa-mir-34b"	"MI0000742"	0	11	111383663	111383746	1
"hsa-mir-34c"	"MI0000743"	0	11	111384164	111384240	1
"hsa-mir-125b-1"	"MI0000446"	0	11	121970465	121970552	-1
"hsa-let-7a-2"	"MI0000061"	0	11	122017229	122017301	-1
"hsa-mir-100"	"MI0000102"	0	11	122022937	122023016	-1
"hsa-mir-200c"	"MI0000650"	0	12	7072862	7072929	1
"hsa-mir-141"	"MI0000457"	0	12	7073260	7073354	1
"hsa-mir-613"	"MI0003626"	0	12	12917583	12917677	1
"hsa-mir-614"	"MI0003627"	0	12	13068763	13068852	1
"hsa-mir-920"	"MI0005712"	0	12	24365355	24365429	1
"hsa-mir-1293"	"MI0006355"	0	12	50627925	50627995	-1
"hsa-mir-196a-2"	"MI0000279"	0	12	54385522	54385631	1
"hsa-mir-615"	"MI0003628"	0	12	54427734	54427829	1
"hsa-mir-148b"	"MI0000811"	0	12	54731000	54731098	1
"hsa-mir-1228"	"MI0006318"	0	12	57588287	57588359	1
"hsa-mir-616"	"MI0003629"	0	12	57912946	57913042	-1
"hsa-mir-26a-2"	"MI0000750"	0	12	58218392	58218475	-1
"hsa-let-7i"	"MI0000434"	0	12	62997466	62997550	1
"hsa-mir-548c"	"MI0003630"	0	12	65016289	65016385	1
"hsa-mir-1252"	"MI0006434"	0	12	79813037	79813101	1
"hsa-mir-617"	"MI0003631"	0	12	81226312	81226408	-1
"hsa-mir-618"	"MI0003632"	0	12	81329515	81329612	-1
"hsa-mir-492"	"MI0003131"	0	12	95228174	95228289	1
"hsa-mir-331"	"MI0000812"	0	12	95702196	95702289	1
"hsa-mir-1251"	"MI0006386"	0	12	97885687	97885756	1
"hsa-mir-135a-2"	"MI0000453"	0	12	97957590	97957689	1
"hsa-mir-619"	"MI0003633"	0	12	109230684	109230782	-1
"hsa-mir-1302-1"	"MI0006362"	0	12	113132839	113132981	-1
"hsa-mir-620"	"MI0003634"	0	12	116586365	116586459	-1
"hsa-mir-1178"	"MI0006271"	0	12	120151439	120151529	-1
"hsa-mir-320d-1"	"MI0008190"	0	13	41301964	41302011	-1
"hsa-mir-621"	"MI0003635"	0	13	41384902	41384997	1
"hsa-mir-16-1"	"MI0000070"	0	13	50623109	50623197	-1
"hsa-mir-15a"	"MI0000069"	0	13	50623255	50623337	-1
"hsa-mir-622"	"MI0003636"	0	13	90883436	90883531	1
"hsa-mir-17"	"MI0000071"	0	13	92002859	92002942	1
"hsa-mir-18a"	"MI0000072"	0	13	92002997	92003088	1
"hsa-mir-19a"	"MI0000073"	0	13	92003145	92003226	1
"hsa-mir-20a"	"MI0000076"	0	13	92003319	92003389	1
"hsa-mir-19b-1"	"MI0000074"	0	13	92003446	92003532	1
"hsa-mir-92a-1"	"MI0000093"	0	13	92003568	92003645	1
"hsa-mir-623"	"MI0003637"	0	13	100008385	100008482	1
"hsa-mir-1267"	"MI0006404"	0	13	108183519	108183596	-1
"hsa-mir-208a"	"MI0000251"	0	14	23857805	23857875	-1
"hsa-mir-208b"	"MI0005570"	0	14	23887196	23887272	-1
"hsa-mir-624"	"MI0003638"	0	14	31483852	31483948	-1
"hsa-mir-548h-1"	"MI0006411"	0	14	64561742	64561843	-1
"hsa-mir-625"	"MI0003639"	0	14	65937820	65937904	1
"hsa-mir-1260"	"MI0006394"	0	14	77732561	77732633	1
"hsa-mir-342"	"MI0000805"	0	14	100575992	100576090	1
"hsa-mir-345"	"MI0000825"	0	14	100774196	100774293	1
"hsa-mir-770"	"MI0005118"	0	14	101318727	101318824	1
"hsa-mir-493"	"MI0003132"	0	14	101335397	101335485	1
"hsa-mir-337"	"MI0000806"	0	14	101340830	101340922	1
"hsa-mir-665"	"MI0005563"	0	14	101341370	101341441	1
"hsa-mir-431"	"MI0001721"	0	14	101347344	101347457	1
"hsa-mir-433"	"MI0001723"	0	14	101348220	101348343	1
"hsa-mir-127"	"MI0000472"	0	14	101349316	101349412	1
"hsa-mir-432"	"MI0003133"	0	14	101350820	101350913	1
"hsa-mir-136"	"MI0000475"	0	14	101351034	101351125	1
"hsa-mir-370"	"MI0000778"	0	14	101377476	101377550	1
"hsa-mir-379"	"MI0000787"	0	14	101488403	101488469	1
"hsa-mir-411"	"MI0003675"	0	14	101489662	101489757	1
"hsa-mir-299"	"MI0000744"	0	14	101490131	101490193	1
"hsa-mir-380"	"MI0000788"	0	14	101491354	101491414	1
"hsa-mir-1197"	"MI0006656"	0	14	101491901	101491988	1
"hsa-mir-323"	"MI0000807"	0	14	101492069	101492154	1
"hsa-mir-758"	"MI0003757"	0	14	101492357	101492444	1
"hsa-mir-329-1"	"MI0001725"	0	14	101493122	101493201	1
"hsa-mir-329-2"	"MI0001726"	0	14	101493437	101493520	1
"hsa-mir-494"	"MI0003134"	0	14	101495971	101496051	1
"hsa-mir-543"	"MI0005565"	0	14	101498324	101498401	1
"hsa-mir-495"	"MI0003135"	0	14	101500092	101500173	1
"hsa-mir-376c"	"MI0000776"	0	14	101506017	101506102	1
"hsa-mir-654"	"MI0003676"	0	14	101506556	101506636	1
"hsa-mir-300"	"MI0005525"	0	14	101507700	101507782	1
"hsa-mir-1185-1"	"MI0003844"	0	14	101509314	101509399	1
"hsa-mir-1185-2"	"MI0003821"	0	14	101510535	101510620	1
"hsa-mir-381"	"MI0000789"	0	14	101512257	101512331	1
"hsa-mir-487b"	"MI0003530"	0	14	101512792	101512875	1
"hsa-mir-539"	"MI0003514"	0	14	101513658	101513735	1
"hsa-mir-889"	"MI0005540"	0	14	101514238	101514316	1
"hsa-mir-544"	"MI0003515"	0	14	101514995	101515085	1
"hsa-mir-655"	"MI0003677"	0	14	101515887	101515983	1
"hsa-mir-487a"	"MI0002471"	0	14	101518783	101518862	1
"hsa-mir-382"	"MI0000790"	0	14	101520643	101520718	1
"hsa-mir-134"	"MI0000474"	0	14	101521024	101521096	1
"hsa-mir-668"	"MI0003761"	0	14	101521595	101521660	1
"hsa-mir-485"	"MI0002469"	0	14	101521756	101521828	1
"hsa-mir-453"	"MI0001727"	0	14	101522527	101522606	1
"hsa-mir-154"	"MI0000480"	0	14	101526092	101526175	1
"hsa-mir-496"	"MI0003136"	0	14	101526910	101527011	1
"hsa-mir-377"	"MI0000785"	0	14	101528387	101528455	1
"hsa-mir-541"	"MI0005539"	0	14	101530832	101530915	1
"hsa-mir-409"	"MI0001735"	0	14	101531637	101531715	1
"hsa-mir-412"	"MI0002464"	0	14	101531784	101531874	1
"hsa-mir-369"	"MI0000777"	0	14	101531935	101532004	1
"hsa-mir-410"	"MI0002465"	0	14	101532249	101532328	1
"hsa-mir-656"	"MI0003678"	0	14	101533061	101533138	1
"hsa-mir-1247"	"MI0006382"	0	14	102026624	102026759	-1
"hsa-mir-203"	"MI0000283"	0	14	104583742	104583851	1
"hsa-mir-1268"	"MI0006405"	0	15	22513229	22513280	-1
"hsa-mir-211"	"MI0000287"	0	15	31357235	31357344	-1
"hsa-mir-1233"	"MI0006323"	0	15	34674270	34674351	-1
"hsa-mir-1233"	"MI0006323"	0	15	34820491	34820572	-1
"hsa-mir-626"	"MI0003640"	0	15	41983783	41983876	1
